Название,Co-Op [👁],PC/VR [👁],VR [👁],Дата выхода,Дата добавления [👁],Дата изменения,Жанры,Обложка,Описание,Оценка,Рейтинг,Ссылка,Статус
Tony Hawk's American Wasteland,No,PC Игры,No,18 октября 2005 г.,"March 30, 2022 4:22 PM","January 3, 2023 1:48 PM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/8e443d6819ae22b2d64f75266f535b59.png,Tony Hawk's American Wasteland is a skateboarding video game developed by Neversoft and published by Activision,⭐⭐⭐,,https://ru.wikipedia.org/wiki/Tony_Hawk%E2%80%99s_American_Wasteland,✔️ Пройдена
Tony Hawk's Pro Skater 1 + 2,No,PC Игры,No,03.09.20,"March 30, 2022 4:25 PM","January 3, 2023 1:45 PM",,https://cdn2.unrealengine.com/egs-tonyhawksproskater12-vicariousvisions-ic1-200x200-914783124.png?h=270&resize=1&w=480,"Играйте в обновлённые версии игр Tony Hawk's Pro Skater и Tony Hawk's Pro Skater 2 в одной эпической подборке, воссозданные в невероятном HD-качестве.",⭐⭐⭐,,https://store.epicgames.com/ru/p/tony-hawks-pro-skater-1-and-2,✔️ Пройдена
https://www.minecraft.net/ru-ru,Yes,PC Игры,No,18 ноября 2011 г.,"March 30, 2022 4:27 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/Screenshot_1%202.png,Minecraft — игра для любителей ставить блоки друг на друга и находить приключения на свою голову.,⭐⭐⭐,,https://www.minecraft.net/ru-ru,🗑️ Брошена
Oxygen Not Included,No,PC Игры,No,30 июл. 2019,"March 30, 2022 4:27 PM","October 16, 2022 11:12 AM"," Инди,  Симуляторы",https://cdn.cloudflare.steamstatic.com/steam/apps/457140/header_alt_assets_5.jpg?t=1639689037,"Oxygen Not Included is a space-colony simulation game. Deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.",,94,https://store.steampowered.com/app/457140/Oxygen_Not_Included/,⌛ В планах
Space Station 13,Yes,PC Игры,No,15 февраля 2003 г.,"March 30, 2022 4:49 PM","October 16, 2022 11:12 AM",,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%98%D0%B3%D1%80%D1%8B%E2%80%9D%20048a48702b494c2db29c341ce40e77a2/Space_Station_13_Cover.png,"Многопользовательская компьютерная игра о работе и жизни персонала на космической станции с элементами выживания. Игра разработана независимым разработчиком Exadv1 на игровом движке «BYOND», имеет тайловую 2D графику и доступна на платформах Windows.",⭐⭐,,https://ru.wikipedia.org/wiki/Space_Station_13,🗑️ Брошена
Prey,No,PC Игры,No,4 мая. 2017,"March 30, 2022 4:53 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/480490/header.jpg?t=1594910513,"В игре Prey в 2032 году вы просыпаетесь на борту «Талоса 1», орбитальной космической станции. Вы ключевая часть эксперимента, который должен был навсегда изменить человеческую расу, но привел к катастрофическим последствиям. Космическую станцию захватили враждебные пришельцы, которые теперь ведут на вас охоту.",,88,https://store.steampowered.com/app/480490/Prey/?curator_clanid=29066899,⌛ В планах
Dishonored 2,No,PC Игры,No,11 ноя. 2016,"March 30, 2022 4:53 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/403640/header.jpg?t=1603889340,"В игре Dishonored 2, вы снова окажетесь в роли ассасина со сверхъестественными способностями. Сайт IGN назвал эту игру «удивительной» и «идеальным продолжением», Eurogamer признал ее «шедевром», а Game Informer считает, что «эта история о мести – одна из лучших в своем жанре и проходить мимо нее ни в коем случае нельзя»; Dishonored 2 –...",⭐⭐⭐,86,https://store.steampowered.com/app/403640/Dishonored_2/?curator_clanid=29066899,✔️ Пройдена
Dishonored®: Death of the Outsider™,No,PC Игры,No,15 сен. 2017,"March 30, 2022 4:55 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/614570/header.jpg?t=1603891882,"From the award-winning developers at Arkane® Studios comes Dishonored®: Death of the Outsider, the next standalone adventure in the critically-acclaimed Dishonored® series.",⭐⭐,84,https://store.steampowered.com/app/614570/Dishonored_Death_of_the_Outsider/?curator_clanid=29066899,🗑️ Брошена
Divinity: Original Sin 2 - Definitive Edition,Yes,PC Игры,No,14 сен. 2017,"March 30, 2022 5:00 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/435150/header.jpg?t=1631177562,"Знаменитая ролевая игра от разработчиков Baldur's Gate 3. Соберите отряд. Освойте мощную боевую систему. Пригласите с собой до трех друзей, но помните, что только один из вас сможет стать богом.",⭐⭐,94,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/,✔️ Пройдена
The Crackpet Show,Yes,PC Игры,No,16 дек. 2021,"March 30, 2022 5:06 PM","November 4, 2022 3:53 PM"," Инди,  Приключенческие игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1390700/header.jpg?t=1648643889,"The Crackpet Show - это экшн-игра в жанре roguelite, в которой мутировавшие животные сокрушают сотни противников с помощью разнообразного оружия и перков. Выбирайте питомца по вкусу – и вперед, убивать сотни врагов ради славы!",⭐⭐⭐,,https://store.steampowered.com/app/1390700/The_Crackpet_Show/,📅 Ожидает
Last Epoch,No,PC Игры,No,30 апр. 2019,"March 30, 2022 5:07 PM","January 3, 2023 2:59 PM"," Инди,  Приключенческие игры,  Ролевые игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/899770/header.jpg?t=1641260843,"Last Epoch combines time travel, exciting dungeon crawling, engrossing character customization and endless replayability to create an Action RPG for veterans and newcomers alike.",,85,https://store.steampowered.com/app/899770/Last_Epoch/,📅 Ожидает
Sekiro™: Shadows Die Twice - GOTY Edition,No,PC Игры,No,22 мар. 2019,"April 3, 2022 11:08 AM","January 3, 2023 1:46 PM"," Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/814380/header.jpg?t=1603904569,"Игра года - The Game Awards 2019 Лучший боевик 2019 г. - IGN Составляйте и воплощайте собственные планы мести в удостоенном множества наград боевике от студии FromSoftware, создавшей Bloodborne и серию Dark Souls. Отомстите врагам. Верните свою честь. Освойте искусство убивать.",⭐⭐,93,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/,🗑️ Брошена
Pathologic 2,No,PC Игры,No,23 мая. 2019,"April 3, 2022 11:08 AM","January 4, 2023 4:23 AM"," Инди,  Приключенческие игры,  Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/505230/header.jpg?t=1631521439,"Боритесь с чумой. Делайте лекарства. Лечите людей. Делайте вскрытия. Торгуйте, чтобы достать необходимое. Деритесь и убивайте, если потребуется. Выживайте. “Мор” - сюжетная песочница о борьбе врача с эпидемией смертельной болезни в далеком степном городке.",,89,https://store.steampowered.com/app/505230/Pathologic_2/,📅 Ожидает
Children of Morta,Yes,PC Игры,No,3 сен. 2019,"April 3, 2022 1:43 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/330020/header.jpg?t=1647945622,"Children of Morta - это сюжетная RPG-игра о необычной семье героев. Веди Бергсонов со всеми их недостатками и достоинствами против предстоящей коррупции. Сможете ли вы пожертвовать всем, чтобы спасти тех, о ком вы заботитесь?",,88,https://store.steampowered.com/app/330020/Children_of_Morta/,⌛ В планах
Crumble,No,PC Игры,No,4 дек. 2020,"April 4, 2022 1:18 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Гонки, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1061180/header.jpg?t=1647267119,"Crumble - это платформер с динамичной физикой. Двигайся как слизь, прыгай как мяч и качай языком!",,,https://store.steampowered.com/app/1061180/Crumble/,⌛ В планах
Fling to the Finish,Yes,PC Игры,No,23 авг. 2021,"April 4, 2022 1:20 PM","January 3, 2023 1:51 PM"," Инди, Гонки, Казуальные игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1054430/header.jpg?t=1636655369,"Fling to the Finish — это совместная гоночная игра, в которой товарищи по команде связаны между собой эластичной веревкой. Станьте по-настоящему близки со своим напарником и докатитесь... допрыгайте... дорвитесь до финишной черты!",,81,https://store.steampowered.com/app/1054430/Fling_to_the_Finish/,⌛ В планах
Unrailed!,Yes,PC Игры,No,23 сен. 2020,"April 4, 2022 1:21 PM","January 4, 2023 10:45 AM"," Инди, Казуальные игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1016920/header.jpg?t=1644307357,"Unrailed! — многопользовательская игра, в которой вам предстоит построить железную дорогу в бесконечном процедурно генерируемом мире. Вам придется работать сообща, улучшать вагоны, следить, чтобы поезд не сошел с рельсов, и быть готовыми ко всему!",,90,https://store.steampowered.com/app/1016920/Unrailed/,⌛ В планах
The Quarry,Yes,PC Игры,No,10 июн. 2022,"April 10, 2022 3:22 PM","October 16, 2022 11:12 AM"," Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/1577120/header.jpg?t=1649363624,"После заката солнца в последний день летнего лагеря для вожатых «Хэкеттс Куори» начинается ночь, полная ужасов. Их преследуют мрачные охотники, перепачканные в крови, и куда более жуткие создания — но ещё страшнее решения, которые им придётся принять, чтобы выжить.",,,https://store.steampowered.com/app/1577120/The_Quarry/?l=russian,⌛ В планах
Totally Accurate Battle Simulator,No,PC Игры,No,1 апр. 2021,"April 11, 2022 5:00 PM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/508440/header.jpg?t=1642079445,"Возглавьте войско красных и синих болванчиков из древних времен, жутких миров и сказочных земель. Создавайте симуляции битв с самой неустойчивой физикой в мире.",,96,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?curator_clanid=4777282&utm_source=SteamDB,⌛ В планах
ATOM RPG Trudograd,No,PC Игры,No,13 сен. 2021,"April 13, 2022 3:27 PM","October 16, 2022 11:12 AM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/1139940/header_russian.jpg?t=1636834181,"ATOM RPG: Трудоград — это пошаговая постапокалиптическая ролевая игра, продолжающая сюжет ATOM RPG, и следующая традициям классических игр, таких как Fallout, Wasteland и Baldur’s Gate.",,86,https://store.steampowered.com/app/1139940/ATOM_RPG_Trudograd/,⌛ В планах
Sid Meier's Civilization® V,No,PC Игры,No,21 сен. 2010,"April 17, 2022 1:28 PM","January 3, 2023 2:19 PM",Стратегии,https://cdn.akamai.steamstatic.com/steam/apps/8930/header.jpg?t=1579731804,"Create, discover, and download new player-created maps, scenarios, interfaces, and more!",⭐⭐⭐,94,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/?curator_clanid=4777282&utm_source=SteamDB,🔄 Реиграбельна
Mafia II (Classic),No,PC Игры,No,22 мар. 2011,"April 17, 2022 2:07 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/50130/header.jpg?t=1589909831,"Vito Scaletta has started to make a name for himself on the streets of Empire Bay as someone who can be trusted to get a job done. Together with his buddy Joe, he is working to prove himself to the Mafia, quickly escalating up the family ladder with crimes of larger reward, status and consequence… the life as a wise guy isn’t quite as...",,93,https://store.steampowered.com/app/50130/Mafia_II_Classic/,⌛ В планах
Despot's Game: Dystopian Army Builder,No,PC Игры,No,14 окт. 2021,"April 17, 2022 2:37 PM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры, Ранний доступ, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1227280/header.jpg?t=1648036069,"Despot's Game - это тактический roguelike с грандиозными сражениями. Собирай беспомощных людишек в армии, чтобы сразиться с монстрами... и другими игроками!",,83,https://store.steampowered.com/app/1227280/Despots_Game_Dystopian_Army_Builder/,⌛ В планах
No Man's Sky,Yes,PC Игры,No,12 авг. 2016,"April 17, 2022 2:37 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/275850/header_alt_assets_10.jpg?t=1649862847,"No Man's Sky является научно-фантастической игрой об исследованиях и выживании в бесконечной, процедурно генерируемой вселенной.",,74,https://store.steampowered.com/app/275850/No_Mans_Sky/,⌛ В планах
Battle Talent,No,VR Игры,Yes,7 июня 2021 г.,"April 23, 2022 6:29 PM","October 16, 2022 11:12 AM"," Файтинги,  Экшен, Приключения",https://scontent.oculuscdn.com/v/t64.5771-25/38974530_298538884979996_4518657510082941092_n.jpg?stp=dst-jpg_q92_s720x720&_nc_cat=1&ccb=1-5&_nc_sid=79b88e&_nc_ohc=nV7C4MlcebcAX_1AYoi&_nc_ht=scontent.oculuscdn.com&oh=00_AT-QCmcz8bBtO8gQ7V6ZiM9-3eLBh8KBai_eObWhnEo5og&oe=62692C9F,,,,https://www.oculus.com/experiences/quest/4410602018966965/?locale=ru_RU,⌛ В планах
Noita,No,PC Игры,No,15 окт. 2020,"April 28, 2022 12:11 PM","December 7, 2022 1:22 AM"," Инди,  Приключенческие игры,  Ролевые игры,  Симуляторы, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/881100/header.jpg?t=1627905909,"Noita — боевик с элементами «roguelike» с физическим моделированием пикселей. Вы сражаетесь, исследуете различные места, расплавляете, сжигаете, замораживаете и испаряете препятствия, используя заклинания. Можно просто исследовать всё вокруг и смотреть, сколько проблем удастся нажить!",🧡,93,https://store.steampowered.com/app/881100/Noita/,🔄 Реиграбельна
Rogue Legacy 2,No,PC Игры,No,28 апр. 2022,"May 2, 2022 7:50 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1253920/header.jpg?t=1651371877,"Rogue Legacy 2 — это то, что бывает, когда берешь Rogue Legacy и добавляешь «продолжение». После каждой смерти на смену вам приходит ваш ребенок. Ваша дочка может оказаться следопыткой-дальтоником, а сын — кулинаром-пацифистом. Кого-то все равно придется выбрать.",,87,https://store.steampowered.com/app/1253920/Rogue_Legacy_2/,⌛ В планах
Carly and the Reaperman - Escape from the Underworld,Yes,PC Игры,No,19 июн. 2018,"May 22, 2022 10:31 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Казуальные игры",https://cdn.akamai.steamstatic.com/steam/apps/547480/header.jpg?t=1618898544,Присоединяйтесь к приключениям Карли и Жнеца в Подземном мире! Преодолевайте опасности и головоломки чтобы проложить путь через забавные и сложные препятствия - играйте в одиночку или с другом!,,,https://store.steampowered.com/app/547480/Carly_and_the_Reaperman__Escape_from_the_Underworld/,⌛ В планах
Super Kit: To The Top,No,VR Игры,Yes,,"May 22, 2022 10:57 AM","October 16, 2022 11:12 AM",,,,,,https://www.youtube.com/watch?v=_GxfPSZJvGI,⌛ В планах
BONELAB,No,VR Игры,Yes,2022,"May 22, 2022 10:57 AM","November 4, 2022 5:55 PM"," Приключенческие игры,  Симуляторы, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1592190/header.jpg?t=1650752272,"BONELAB is an experimental physics action game. Explore a mysterious lab filled with weapons, enemies, challenges and secrets. Escape your reality, or wreak havoc. No wrong answers.",🧡,,https://store.steampowered.com/app/1592190/BONELAB/,✔️ Пройдена
The Last Clockwinder,No,PC Игры,No,"June 2, 2022","May 22, 2022 10:57 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы",https://cdn.akamai.steamstatic.com/steam/apps/1755100/header.jpg?t=1653080293,A VR puzzle-automation game. Create intricate clockwork contraptions out of your own clones and restore life to an ancient tree.,,,https://store.steampowered.com/app/1755100/The_Last_Clockwinder/,⌛ В планах
60 Seconds! Reatomized,No,PC Игры,No,25 июл. 2019,"May 25, 2022 1:39 AM","January 3, 2023 1:45 PM"," Инди,  Приключенческие игры,  Симуляторы, Казуальные игры, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/1012880/header.jpg?t=1642499109,"Пост-апокалиптическая чёрная комедия возвращается — обновлённая и ещё более радиоактивная! Соберите запасы, спасите свою семью и приготовьтесь выживать в бункере. Принимайте трудные решения, воюйте с тараканами… и, может, вам удастся выжить. Или нет.",⭐⭐,91,https://store.steampowered.com/app/1012880/60_Seconds_Reatomized/?curator_clanid=4777282&utm_source=SteamDB,✔️ Пройдена
Darkverse: Rogue,No,PC Игры,No,Coming soon.,"May 27, 2022 5:29 PM","October 16, 2022 11:12 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1605250/header.jpg?t=1652188127,"Your mission is not just to survive, but to face yourself, your past and prepare for ""a world full of darkness and monsters"". A stylized pixel painted FPS roguelike game, that combines the feel of early action-adventure games, with innovative mechanics.",,,https://store.steampowered.com/app/1605250/Darkverse_Rogue/,⌛ В планах
Storyteller,No,PC Игры,No,TBD,"May 27, 2022 5:46 PM","January 4, 2023 4:24 AM"," Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/1624540/header.jpg?t=1649700146,"В игре Storyteller именно вы создаете историю! Начните с заголовка, персонажей и мира, а затем добавьте собственный сюжетный поворот в уже знакомую или новую историю.",,,https://store.steampowered.com/app/1624540/Storyteller/,⌛ В планах
Witchbrook,No,PC Игры,No,Still brewing! ✨,"June 2, 2022 12:49 AM","October 16, 2022 11:12 AM"," Инди,  Ролевые игры,  Симуляторы",https://cdn.akamai.steamstatic.com/steam/apps/1846700/header.jpg?t=1654088488,"Discover the magic around you in Witchbrook - a spellbinding social RPG! Spark life into a charming seaside town when you become Mossport’s newest resident witch. Make friends, master spells, and maybe even find love along the way…",,,https://store.steampowered.com/app/1846700/Witchbrook/,⌛ В планах
The Fridge is Red,No,PC Игры,No,TBA,"June 12, 2022 2:36 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1532460/header.jpg?t=1655023314,Spiral down the psychological horror episodes. Experience the unsettling liminal spaces and surreal events inspired by analogue horror of the PSX era. What is inside the Red Fridge? Try to find out in the new DEMO.,,,https://store.steampowered.com/app/1532460/The_Fridge_is_Red/,⌛ В планах
20 Minutes Till Dawn,No,PC Игры,No,8 июн. 2022,"June 14, 2022 4:25 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Казуальные игры, Ранний доступ, Стратегии, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1966900/header.jpg?t=1655132249,"Отстреливайся от постоянно наступающей толпы Лавкравтовских монстров. Разблокируй новых персонажей с уникальными способностями, новое оружие, выбери из множества улучшений, чтобы сделать своего уникального война, который сможет пережить эту ночь.",,89,https://store.steampowered.com/app/1966900/20_Minutes_Till_Dawn/,⌛ В планах
Avowed,No,PC Игры,No,,"June 16, 2022 12:47 AM","January 3, 2023 3:01 PM"," Ролевые игры",https://d1079ywfijtdjs.cloudfront.net/images/avowed/v1/avowed-rendered.png,"Avowed - это фэнтезийный ролевой экшен с видом от первого лица, события которого разворачиваются в Эоре - мире, знакомом игрокам по серии Pillars of Eternity.",,,https://avowed.obsidian.net/,⌛ В планах
Pentiment,No,PC Игры,No,November 2022,"June 24, 2022 1:36 AM","October 16, 2022 11:12 AM"," Приключенческие игры, Казуальные игры",https://cdn.akamai.steamstatic.com/steam/apps/1205520/header.jpg?t=1655248748,Искусство имитирует смерть,,,https://store.steampowered.com/app/1205520/Pentiment/,⌛ В планах
Necrosmith,No,PC Игры,No,13 июл. 2022,"June 27, 2022 1:37 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1949190/header.jpg?t=1656331332,"Симулятор некроманта. Собирайте мертвецов из разных частей тел, улучшайте свою башню, вселяйтесь в избранных и комбинируйте способности разных фантастических рас, чтобы пробиться через орды врагов. Говоря начистоту, нежить немного, ну… тупая.",⭐⭐,,https://store.steampowered.com/app/1949190/Necrosmith/,🗑️ Брошена
Clanfolk,No,PC Игры,No,14 июл. 2022,"June 29, 2022 1:06 AM","October 16, 2022 11:12 AM"," Симуляторы, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/1700870/header.jpg?t=1656475614,"Clanfolk is a colony life sim set in the medieval Scottish highlands. Clear the land, build a home, hunt, fish, gather, craft, have children, marry them off, raise livestock, farm, meet the neighbours, hire, trade, run an inn, prepare for winter. Build your home...or die trying.",⭐,,https://store.steampowered.com/app/1700870/Clanfolk/,🗑️ Брошена
Endling - Extinction is Forever,No,PC Игры,No,"19 Jul, 2022","July 1, 2022 5:04 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы",https://cdn.akamai.steamstatic.com/steam/apps/898890/header.jpg?t=1655132945,"Вы последняя мать-лиса на Земле, и ваши детеныши нуждаются в вашей заботе, чтобы выжить в безжалостном мире, находящемся на грани уничтожения. Исследуйте то, что осталось от природы, и защитите свою семью от всех угроз. Вы их последняя надежда, потому что вымирание - это навсегда.",,,https://store.steampowered.com/app/898890/Endling__Extinction_is_Forever/,⌛ В планах
The Callisto Protocol,No,PC Игры,No,2 дек. 2022,"July 5, 2022 1:18 AM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1544020/header.jpg?t=1654881995,Survive to escape the horrors of Callisto and uncover the dark secrets of Jupiter’s dead moon.,,,https://store.steampowered.com/app/1544020/The_Callisto_Protocol/,⌛ В планах
Old World,No,PC Игры,No,19 мая. 2022,"July 6, 2022 5:16 AM","October 16, 2022 11:12 AM"," Симуляторы, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/597180/header_russian.jpg?t=1655733223,"Old World — это революция в жанре исторических стратегий. Возглавьте династию и проведите ее сквозь века, играя за несколько поколений царей и цариц. Объявляйте войны, управляйте царским двором и впишите имя своей семьи в историю… или наблюдайте, как империя обращается в прах.",,74,https://store.steampowered.com/app/597180/Old_World/,⌛ В планах
The Eternal Cylinder,No,PC Игры,No,Fall 2022,"July 9, 2022 2:38 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/865680/header.jpg?t=1657008361,"Управляйте группой очаровательных требумов и исследуйте незабываемый инопланетный мир, полный экзотических обитателей и фантастических пейзажей. Откройте для себя десятки мутаций и эволюционируйте, чтобы попасть в новые ареалы обитания. Решайте головоломки, чтобы выжить на опасной планете.",,,https://store.steampowered.com/app/865680/The_Eternal_Cylinder/,⌛ В планах
Webbed,No,PC Игры,No,9 сен. 2021,"July 9, 2022 2:39 PM","January 4, 2023 4:23 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1390350/header.jpg?t=1649730374,"Перепрыгивайте с дерева на дерево, плетите липкую паутину и знакомьтесь с другими насекомыми! Станьте очаровательным паучком своей мечты!",,94,https://store.steampowered.com/app/1390350/Webbed/,📅 Ожидает
DAVIGO,No,VR Игры,Yes,29.09.2022,"July 9, 2022 2:40 PM","October 16, 2022 11:12 AM"," Инди, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1116540/header.jpg?t=1656609328,"DAVIGO is a VR vs. PC ""cross-reality"" battle game. The VR player embodies a giant and faces off against one or more PC players in fast-paced, explosive combat!",,,https://store.steampowered.com/app/1116540/DAVIGO/,⌛ В планах
Darkest Dungeon® II,No,PC Игры,No,фев 2023,"July 9, 2022 2:42 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1940340/header.jpg?t=1655945887,"Darkest Dungeon II — путешествие обречённых в жанре рогалик. Создавайте группу, снаряжайте Дилижанс и отправляйтесь спасать мир, освещая умирающие земли искрой последней надежды. Но помните, что главные угрозы могут прийти не извне…",,,https://store.steampowered.com/app/1940340/Darkest_Dungeon_II/,⌛ В планах
Lies Of P,No,PC Игры,No,2023,"July 9, 2022 2:42 PM","February 13, 2023 11:30 PM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1627720/header.jpg?t=1655718925,"Inspired by the familiar story of Pinocchio, Lies of P is an action souls-like game set in a dark Belle Époque world. Guide Pinocchio on his unrelenting journey to become human.",,,https://store.steampowered.com/app/1627720/Lies_Of_P/,⌛ В планах
LIMBO,No,PC Игры,No,2 авг. 2011,"July 9, 2022 3:09 PM","January 3, 2023 2:18 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/48000/header.jpg?t=1655818689,"В страхе за судьбу сестры, мальчик входит в ЛИМБ.",🧡,91,https://store.steampowered.com/app/48000/LIMBO/?l=russian,✔️ Пройдена
Little Nightmares II,No,PC Игры,No,11 фев. 2021,"July 9, 2022 3:09 PM","October 16, 2022 11:12 AM"," Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/860510/header.jpg?t=1650897258,"Little Nightmares II — приключенческая игра с нагнетанием саспенса. Вы играете за мальчика Моно, попавшего в мир, деформированный злой Передачей. С новой подругой Шестой он пытается найти ее источник.",,93,https://store.steampowered.com/app/860510/Little_Nightmares_II/,⌛ В планах
A Plague Tale: Innocence,No,PC Игры,No,14 мая. 2019,"July 9, 2022 3:10 PM","October 16, 2022 11:12 AM"," Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/752590/header.jpg?t=1656000174,Отправляйтесь в путешествие вместе с Амицией и ее младшим братом Гуго.,,92,https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence/,⌛ В планах
Little Nightmares,No,PC Игры,No,28 апр. 2017,"July 9, 2022 3:10 PM","October 16, 2022 11:12 AM"," Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/424840/header.jpg?t=1650895425,"Little Nightmares – это мрачная сказка, которая заставит вас вспомнить свои детские кошмары. Помогите Шестой выбраться из Чрева – подводного судна, полного жутких существ, ищущих, чем бы поживиться.",,93,https://store.steampowered.com/app/424840/Little_Nightmares/,⌛ В планах
INSIDE,No,PC Игры,No,7 июл. 2016,"July 9, 2022 3:10 PM","January 4, 2023 10:44 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/304430/header.jpg?t=1655801492,"Гонимый и одинокий, мальчик оказывается в самом центре мрачного проекта.",🧡,94,https://store.steampowered.com/app/304430/INSIDE/,✔️ Пройдена
Nightingale,No,PC Игры,No,Coming Q4 2022,"July 9, 2022 3:12 PM","October 16, 2022 11:12 AM"," Приключенческие игры,  Ролевые игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1928980/header.jpg?t=1656020866,"Set out on a journey of survival and adventure, into the mysterious and dangerous Fae Realms of Nightingale! Become an intrepid Realmwalker, and venture forth alone or with friends - as you explore, craft, build and fight across a visually stunning Gaslamp Fantasy world.",,,https://store.steampowered.com/app/1928980/Nightingale/,⌛ В планах
